,Ano,População residente,Superfície em km2,Densidade populacional,Jovens (%),População em idade activa (%),Idosos (%),Índice de envelhecimento,População estrangeira (2),População estrangeira em % da população residente (2),Nascimentos (3),Óbitos,Taxa de mortalidade infantil (‰),Diferença entre os nascimentos e os óbitos,Casamentos,Divórcios,Hospitais,Farmácias (1),Alojamentos familiares clássicos,Edifícios novos concluídos para habitação familiar,Estabelecimentos do ensino pré-escolar,Estabelecimentos do 1.º ciclo do ensino básico,Estabelecimentos do 2.º ciclo do ensino básico,Estabelecimentos do 3.º ciclo do ensino básico,Estabelecimentos do ensino secundário,Alunos do ensino não superior (5),Estabelecimentos do ensino superior,Alunos do ensino superior (5),Museus,Sessões de espectáculos ao vivo,Ecrãs de cinema,Despesas da Câmara Municipal em cultura e desporto (%),Empresas não financeiras (4),Pessoal ao serviço nas empresas não financeiras (4),Pessoal ao serviço nas quatro maiores empresas do município (%),Volume de negócios das quatro maiores empresas do município (%),"Ganho médio mensal dos trabalhadores por conta de outrem, €","Bancos, Caixas Económicas",Caixas de Crédito Agrícola Mútuo,Caixas automáticas multibanco,Pensões da Segurança Social,Pensões da Caixa Geral de Aposentações,Pensões da Segurança Social e da CGA em % da população residente,Beneficiários do Rendimento Social de Inserção (RSI),Desempregados inscritos nos centros de emprego,Desempregados inscritos nos centros de emprego em % da população residente,Trabalhadores da Administração Pública Local,Despesas da Câmara Municipal (7),Receitas da Câmara Municipal (8),Saldo financeiro da Câmara Municipal,Transferências recebidas no total das receitas da Câmara Municipal (%),Crimes registados pelas polícias por mil habitantes,Consumo de energia eléctrica por habitante (kWh),Resíduos urbanos recolhidos selectivamente por habitante (kg),Despesas do município em ambiente (%),Alojamentos turísticos (6)
Barreiro ,2019,75283,0,2068.8,14,59.5,26.5,190,4147,5.5,664,918,7.5,-254,260,190,1,23,42127,15,38,25,8,10,7,13986,1,533,0,202,5,0,0,0,0,0,0,13,1,71,24574,6383,48,2956,2879,6,764,0,0,0,0,45.5,0,101.8,0,3
Batalha ,2010,15796,0,0,15.9,65.9,18.2,115,648,4.1,0,131,0,20,84,31,0,4,8283,40,14,10,2,2,1,3434,0,0,0,0,1,14.2,1931,8055,14,15,883,12,2,21,4193,389,34,251,504,5,101,12174.8,11527.5,-647,56,38.9,5195.8,42.5,7,5
Batalha ,2019,15902,0,153.8,13.4,65.7,20.9,156,557,3.5,123,130,0,-7,91,21,0,4,8594,28,12,10,2,2,1,2113,0,0,1,23,0,0,0,0,0,0,0,8,2,15,4423,446,35,92,238,2,234,0,0,0,0,24,0,44.8,0,7
Beja ,2010,35939,0,0,15.1,64.5,20.4,135,1238,3.4,0,504,0,-114,145,100,1,12,20071,23,24,21,4,6,3,7403,4,2779,5,112,1,10.5,4287,9038,5,13,964,20,4,59,11156,2939,46,2377,1409,6,541,25998,26210.7,213,65.7,31,3668.9,67.9,7,7
Beja ,2019,33565,0,29.3,15.1,62.4,22.5,149,1495,4.5,323,476,6.2,-153,115,81,1,12,20301,23,24,15,4,6,3,6525,4,2721,2,249,1,0,0,0,0,0,0,12,4,51,9986,3178,46,1521,1053,5,461,0,0,0,0,31.5,0,88.2,0,24
Belmonte ,2010,6915,0,0,11.9,63,25.1,211,34,0.5,0,99,0,-50,26,15,0,2,4928,18,7,4,1,1,1,903,0,0,1,0,0,31,643,2029,34,42,780,5,2,12,2435,298,45,363,421,10,63,7720,7968.1,248,83.6,45.1,2921.2,37,3,2
Belmonte ,2019,6403,0,53.9,10.2,62.7,27.2,268,68,1.1,36,82,0,-46,15,5,0,2,4976,4,7,2,1,1,1,678,0,0,4,96,0,0,0,0,0,0,0,2,2,8,2205,323,44,202,232,6,76,0,0,0,0,36.7,0,42.5,0,13
Benavente ,2010,28738,0,0,18.4,66,15.7,85,2527,8.8,0,248,0,74,97,78,0,6,14702,46,15,9,3,4,2,5150,0,0,0,0,0,6.5,2827,10268,19,17,1017,19,4,41,6763,1141,33,1086,1511,8,388,16771.2,15593.9,-1177,39.8,48.1,5599.2,25.8,10,1
Benavente ,2019,30408,0,58.3,15.5,66.7,17.9,116,1939,6.4,243,281,0,-38,86,56,0,7,14847,5,14,10,3,4,1,4325,0,0,1,18,0,0,0,0,0,0,0,11,2,33,7533,1373,34,718,968,5,360,0,0,0,0,33.8,0,37.6,0,5
Bombarral ,2010,13248,0,0,13.9,64.1,22.1,159,487,3.7,0,209,0,-112,55,53,0,4,8008,39,12,9,1,1,1,2208,0,0,1,0,0,3.4,1617,3828,11,15,802,8,2,18,3879,451,38,392,580,7,231,7538.3,8129.3,591,55.1,44.8,4077.6,69.1,4,1
Bombarral ,2019,12546,0,137.4,11.9,63.7,24.4,205,475,3.8,77,176,0,-99,59,25,0,4,8151,16,5,2,1,1,1,1689,0,0,1,10,0,0,0,0,0,0,0,5,2,15,3779,528,39,100,231,3,170,0,0,0,0,27.7,0,78.4,0,7
Borba ,2010,7381,0,0,11.8,61.9,26.3,222,143,1.9,0,91,0,-44,23,13,0,5,4176,18,5,5,1,1,0,974,0,0,1,0,1,10.7,897,1743,9,26,894,4,2,7,3145,242,52,402,347,8,229,6632.6,7041.4,409,67.3,16.4,4161.4,62.6,7,1
Borba ,2019,6763,0,46.6,11.1,60.6,28.4,257,127,1.9,41,113,0,-72,20,13,0,4,4225,8,4,2,1,1,0,641,0,0,0,70,0,0,0,0,0,0,0,2,2,7,2845,302,52,263,205,5,188,0,0,0,0,18.6,0,74.8,0,8
Boticas ,2010,5807,0,0,10.1,59.4,30.4,300,28,0.5,0,89,0,-59,33,4,0,2,4638,20,6,1,1,1,0,544,0,0,1,0,0,6.8,401,821,29,38,702,2,1,2,2263,226,48,332,283,8,134,7883.7,9226,1342,82.6,25.1,3397.3,40.3,2,1
Boticas ,2019,5029,0,15.6,8.8,58.2,33,373,40,0.8,24,95,0,-71,14,6,0,2,4670,1,3,1,1,1,0,409,0,0,1,28,0,0,0,0,0,0,0,2,1,3,1918,227,47,104,121,4,140,0,0,0,0,22.7,0,84.3,0,5
Braga ,2010,180948,0,0,16.8,70.8,12.4,74,5282,2.9,0,1164,0,644,843,448,4,36,84368,445,108,87,21,24,15,42204,5,17248,7,321,17,14.2,19457,66811,8,20,960,110,5,238,35869,8668,29,8093,10526,8,1771,81048.3,85707.7,4659,48.9,39.9,3717.9,66.8,6,22
Braga ,2019,182299,0,994,14.3,68.9,16.8,118,10315,5.7,1677,1326,1.8,351,655,384,6,38,87787,321,100,75,22,26,15,34393,4,19230,6,1431,28,0,0,0,0,0,0,65,4,204,41536,10330,33,2232,6348,5,1564,0,0,0,0,27,0,100.4,0,55
Bragança ,2010,35413,0,0,12.7,65.5,21.8,172,761,2.1,0,405,0,-135,162,94,1,8,24735,66,17,25,3,6,4,7208,5,5527,4,0,3,7.5,3745,7822,5,40,842,19,6,57,10083,3241,43,915,1772,8,367,32963.9,34118,1154,57.5,34.4,3569.9,37.3,7,11
Bragança ,2019,33597,0,28.6,11.4,63.5,25.1,219,2384,7.1,248,489,0,-241,84,46,1,9,25325,47,19,15,3,6,5,5122,4,6905,5,105,0,0,0,0,0,0,0,10,5,40,8917,3710,42,539,880,4,369,0,0,0,0,29.1,0,42.1,0,36
Cabeceiras de Basto ,2010,16828,0,0,16.9,64.4,18.7,111,88,0.5,0,168,0,-28,78,25,0,4,9276,47,24,10,2,2,2,3842,0,0,1,0,0,1.8,1213,3193,6,17,707,8,1,12,4592,565,37,1290,1386,13,294,17714.4,16345.8,-1369,81.9,25.5,1894,35.4,2,0
Cabeceiras de Basto ,2019,15664,0,64.8,12.8,67.9,19.4,152,140,0.9,86,158,11.6,-72,46,19,0,4,9726,27,10,7,2,3,2,2394,0,0,1,0,0,0,0,0,0,0,0,5,1,10,4285,651,36,432,722,7,329,0,0,0,0,22.2,0,53.6,0,12
Cadaval ,2010,14257,0,0,14.4,60.8,24.8,172,388,2.7,0,203,0,-74,50,15,0,5,8726,30,13,14,1,2,1,1857,0,0,1,0,0,9,1486,3497,12,24,868,5,3,13,4309,526,40,321,535,6,220,9370.4,9278,-92,61.6,31.3,3834,54.8,3,1
Cadaval ,2019,13650,0,78,12,61.6,26.4,220,361,2.6,78,186,0,-108,30,19,0,5,8891,12,11,10,1,1,1,1400,0,0,1,10,0,0,0,0,0,0,0,3,2,11,4340,654,41,134,259,3,198,0,0,0,0,22.9,0,175.6,0,7
Caldas da Rainha ,2010,51710,0,0,15.1,65.2,19.7,130,2405,4.7,0,542,0,-78,155,150,3,15,30762,98,40,41,5,7,5,10562,2,1180,4,15,5,17,6271,17204,14,18,887,27,6,83,13860,2512,37,1057,2782,8,320,26927.7,24354.3,-2573,45.5,40.5,3929,46.4,6,10
Caldas da Rainha ,2019,51726,0,202.3,12.8,65.2,22.1,173,3018,5.8,364,579,2.7,-215,153,106,3,15,31622,78,33,29,5,7,5,9069,1,1626,6,135,6,0,0,0,0,0,0,14,6,63,14733,2938,39,402,1082,3,286,0,0,0,0,24.9,0,87.4,0,28
Calheta [R.A.A.] ,2010,3809,0,0,14.9,65.1,20,135,13,0.3,0,45,0,-28,17,4,0,2,2380,4,6,4,2,2,1,620,0,0,1,0,0,3.8,356,875,23,28,0,5,1,8,976,171,36,274,71,3,116,4119.9,4561.9,442,85.3,40.2,2666.3,0,3,0
Calheta [R.A.A.] ,2019,3195,0,25.3,13,62.8,24.2,186,17,0.5,27,50,0,-23,6,11,0,2,2404,2,4,2,2,2,1,505,0,0,1,28,0,0,0,0,0,0,0,3,1,9,939,212,42,91,0,0,97,0,0,0,0,31.3,0,129.9,0,3
Calheta [R.A.M.] ,2010,11585,0,0,15.4,62.6,22,143,317,2.7,0,168,0,-82,24,22,0,4,7223,51,10,10,2,2,2,1988,0,0,0,0,0,5.4,625,2201,39,80,1206,9,0,14,3989,308,44,449,460,6,133,7981.2,9081.3,1100,74.6,14,2760.1,36.2,5,12
Calheta [R.A.M.] ,2019,10866,0,97.5,11.9,66,22.1,186,759,7,70,154,0,-84,69,19,0,4,7498,36,7,6,1,1,1,1850,0,0,1,45,0,0,0,0,0,0,0,7,0,10,3338,378,39,358,0,0,170,0,0,0,0,14.4,0,49.8,0,48
Câmara de Lobos ,2010,35686,0,0,21.3,68.9,9.8,46,197,0.6,0,253,0,165,109,77,0,8,13323,58,23,17,4,4,2,6719,0,0,0,0,0,7.7,1632,5679,15,27,899,11,0,21,7195,542,28,2171,2367,10,258,16670.9,17751,1080,63.2,24.7,2001.3,17.5,5,4
Câmara de Lobos ,2019,33704,0,646,15.7,71.9,12.4,79,368,1.1,313,270,3.2,43,81,54,0,8,13554,18,17,12,3,3,2,3991,0,0,1,33,0,0,0,0,0,0,0,6,0,17,7685,660,29,841,0,0,237,0,0,0,0,29.7,0,80.1,0,10
Caminha ,2010,16778,0,0,12.5,65.3,22.1,176,342,2,0,215,0,-105,63,36,0,5,13886,60,13,11,2,5,4,3628,0,0,1,0,0,8.5,2124,4421,12,19,911,11,2,22,5043,854,40,388,708,6,300,16779.2,16293.8,-485,58.9,49.1,3285.2,43.7,6,7
Caminha ,2019,15875,0,116.3,11,63.1,25.9,236,421,2.7,116,219,0,-103,41,40,0,5,14326,20,11,10,2,2,4,1872,0,0,1,94,1,0,0,0,0,0,0,8,2,20,5045,975,43,167,327,3,301,0,0,0,0,32.7,0,74.3,0,19
Campo Maior ,2010,8481,0,0,15.6,63.6,20.8,133,378,4.5,0,122,0,-46,38,24,0,3,4720,12,4,5,1,1,1,1818,0,0,2,0,1,28.9,715,3502,43,68,1153,3,1,10,2537,507,43,767,416,8,244,7462.9,7522.9,60,74.2,25.7,5298.5,80.5,13,1
Campo Maior ,2019,7891,0,31.9,14.2,63.2,22.6,159,235,3,59,95,0,-36,29,16,0,3,4771,4,3,1,1,1,1,1579,0,0,1,44,1,0,0,0,0,0,0,3,1,9,2462,557,45,361,386,8,227,0,0,0,0,46.4,0,91,0,4
Cantanhede ,2010,36778,0,0,13,63.2,23.8,183,490,1.3,0,452,0,-212,132,82,2,16,20470,110,26,31,6,6,4,5930,0,0,1,0,0,12,4136,10510,11,32,958,18,7,53,11853,1403,41,1244,1300,6,317,29189,18982.2,-10207,62.1,37.8,5124.4,64.7,1,2
Cantanhede ,2019,35040,0,89.6,11.4,61.6,27,237,604,1.7,236,465,8.5,-229,125,69,2,16,21193,71,24,19,6,6,3,4512,0,0,1,193,0,0,0,0,0,0,0,11,7,45,11052,1570,41,498,741,3,282,0,0,0,0,32.1,0,82.2,0,5
Carrazeda de Ansiães ,2010,6470,0,0,10.8,56.8,32.4,301,98,1.5,0,118,0,-91,22,8,0,2,5302,15,7,7,2,1,2,861,0,0,0,0,0,1.4,573,983,7,28,750,2,1,3,2624,338,52,204,291,8,177,7995.3,9629.4,1634,80.8,36.3,2424.5,38.9,4,1
Carrazeda de Ansiães ,2019,5675,0,20.3,10,55.2,34.8,348,105,1.9,34,89,0,-55,9,10,0,2,5363,4,2,1,1,1,1,601,0,0,0,1,1,0,0,0,0,0,0,2,1,3,2175,367,50,146,212,7,149,0,0,0,0,21,0,55,0,4
Carregal do Sal ,2010,9879,0,0,14.6,61.6,23.9,164,133,1.3,0,133,0,-55,40,20,0,4,6654,23,15,10,2,3,1,1793,0,0,0,0,0,10.6,813,2773,23,31,830,5,2,12,3185,336,42,786,407,7,121,7854.2,7436,-418,78.4,30.6,2819.8,27.6,7,1
Carregal do Sal ,2019,9281,0,79.4,11.3,62.2,26.5,234,159,1.7,59,129,0,-70,17,18,0,5,6763,9,2,2,2,3,1,1121,0,0,1,6,0,0,0,0,0,0,0,3,2,12,3108,378,42,156,230,4,143,0,0,0,0,27.8,0,55.4,0,3
Cartaxo ,2010,24485,0,0,15,64.8,20.2,135,1033,4.2,0,305,0,-87,115,92,0,8,13280,50,9,15,3,3,1,3772,0,0,2,137,1,19.4,2380,6072,9,26,944,12,3,32,6464,1092,36,761,917,6,444,16496.7,19626,3129,33.4,34.1,4900.2,26.3,10,1
Cartaxo ,2019,23792,0,150.4,12.7,64.6,22.7,178,728,3.1,194,310,0,-116,67,64,0,8,13565,27,8,10,2,3,1,3071,0,0,1,39,1,0,0,0,0,0,0,8,2,25,7230,1254,41,231,435,3,336,0,0,0,0,25,0,49.5,0,8
Cascais ,2010,204767,0,0,16.9,66.2,16.9,99,22134,10.8,0,1870,0,539,699,630,5,43,108676,190,111,91,27,24,17,38227,2,2113,5,257,14,8,27963,70396,5,16,1180,136,1,317,44021,14884,34,7461,9063,7,1537,151284.9,147479.2,-3806,24,42.3,3523.4,174.6,20,42
Cascais ,2019,213041,0,2187.3,15.8,63.7,20.5,130,30328,14.2,1969,2142,2.5,-173,567,468,6,43,110013,56,110,81,31,27,19,38538,2,2287,8,595,15,0,0,0,0,0,0,73,1,240,49444,16238,36,3376,5659,4,2220,0,0,0,0,30.3,0,248.4,0,104
Castanheira de Pêra ,2010,3234,0,0,10.9,59.5,29.6,272,52,1.6,0,57,0,-36,10,5,0,1,2711,5,1,2,1,1,0,325,0,0,1,0,0,2.6,268,711,31,34,785,2,1,3,1678,155,64,187,180,9,83,4162.4,4613.1,451,82.9,35.3,4054.5,50.4,1,1
Castanheira de Pêra ,2019,2632,0,39.4,7.7,55.8,36.5,471,95,3.6,4,47,0,-43,7,6,0,1,2735,0,1,1,1,1,0,212,0,0,1,2,0,0,0,0,0,0,0,1,1,2,1484,179,69,94,77,5,70,0,0,0,0,27,0,64.2,0,4
Castelo Branco ,2010,56221,0,0,13,64.1,22.9,177,1251,2.2,0,691,0,-244,218,149,1,17,38198,66,32,24,6,9,6,11196,5,3615,3,68,5,11.5,5701,13268,7,9,873,37,3,86,16777,4224,43,2152,2985,8,520,38729.7,41289,2559,64,31.8,3883.8,3.8,1,5
Castelo Branco ,2019,52090,0,36.2,12.1,62,25.9,214,1610,3.1,324,718,3.1,-394,163,98,1,18,38948,52,28,22,6,9,5,7490,5,3609,2,94,4,0,0,0,0,0,0,19,2,65,16217,4781,46,1256,1489,5,427,0,0,0,0,30.4,0,74,0,13
Castelo de Paiva ,2010,16825,0,0,16.7,68.4,14.9,90,58,0.3,0,136,0,10,80,37,0,4,7411,38,21,19,2,2,2,3514,0,0,0,0,0,3.5,1148,3840,20,34,721,3,1,9,4484,407,35,676,1600,14,169,8454.8,9728.2,1273,77.5,30.7,2757.1,25,4,1
Castelo de Paiva ,2019,15511,0,134.9,12.5,68.5,19,151,59,0.4,96,145,0,-49,53,30,0,4,7688,26,19,13,2,2,1,2599,0,0,0,0,0,0,0,0,0,0,0,3,1,9,4389,483,36,355,598,6,159,0,0,0,0,22.2,0,23.9,0,9
Castelo de Vide ,2010,3450,0,0,11.5,59.3,29.2,254,86,2.5,0,68,0,-48,13,9,0,2,2887,5,3,2,1,1,0,466,0,0,0,0,1,33.6,330,506,9,29,795,2,1,5,1421,339,58,186,122,6,171,5192.5,5570.2,378,79.9,19.4,4535.1,101.5,4,3
Castelo de Vide ,2019,2935,0,11.1,9.6,60.3,30.1,315,111,3.8,19,64,0,-45,6,4,0,3,2899,1,3,1,1,1,0,285,0,0,0,25,1,0,0,0,0,0,0,1,1,4,1232,358,60,34,70,4,148,0,0,0,0,19.8,0,89.6,0,13
Castro Daire ,2010,15468,0,0,13.6,60.5,25.9,190,106,0.7,0,209,0,-117,52,28,0,5,12513,51,16,12,2,4,2,2720,0,0,0,0,0,3.2,1171,3056,9,16,742,6,3,12,5979,556,49,729,564,6,252,13135.9,13684.5,549,77.2,12.3,2404.6,20.2,4,1
Castro Daire ,2019,13876,0,36.6,10.6,60.1,29.3,277,151,1.1,79,213,0,-134,59,25,0,5,12795,29,14,13,2,4,2,1898,0,0,0,7,0,0,0,0,0,0,0,6,3,13,5340,619,48,397,618,7,304,0,0,0,0,17.3,0,32.1,0,7
Castro Marim ,2010,6749,0,0,13,60.6,26.3,202,630,9.3,0,95,0,-45,29,15,0,2,8351,20,5,5,1,1,0,751,0,0,1,0,0,17.2,703,1637,12,20,815,3,2,13,2050,363,41,386,269,7,156,13485.1,11447.6,-2037,37.8,39.9,6125.6,212.5,7,3
Castro Marim ,2019,6256,0,20.8,11.2,61.2,27.6,247,862,13.8,60,109,0,-49,53,7,0,2,8500,12,5,3,1,1,0,723,0,0,0,0,0,0,0,0,0,0,0,1,2,6,2024,451,45,148,147,4,222,0,0,0,0,28,0,298,0,21
Castro Verde ,2010,7325,0,0,13.4,62.7,23.9,178,148,2,0,120,0,-68,18,6,0,3,4813,22,7,6,1,2,1,1103,0,0,2,145,1,18.9,692,2201,45,89,1605,5,1,13,2509,296,44,278,336,7,233,12391.7,11458.1,-934,64.8,17.2,29960.2,37.8,3,2
Castro Verde ,2019,6948,0,12.2,11.8,65.3,22.9,194,189,2.7,63,125,0,-62,14,8,0,3,4931,14,5,4,1,2,1,1021,0,0,2,87,2,0,0,0,0,0,0,3,1,12,2283,350,43,131,167,4,205,0,0,0,0,20,0,84.1,0,10
Celorico da Beira ,2010,7796,0,0,12.6,58.9,28.6,228,71,0.9,0,130,0,-86,30,24,0,4,6290,9,12,3,1,1,1,1165,0,0,1,0,0,6,655,1622,26,34,736,4,1,11,2546,351,43,363,292,6,303,12446.2,9203.3,-3243,80.1,24.4,2766.3,22.1,3,3
Celorico da Beira ,2019,6953,0,28.1,9.8,59.8,30.4,310,103,1.5,33,113,0,-80,20,18,0,4,6332,3,5,6,1,1,1,739,0,0,0,18,0,0,0,0,0,0,0,2,1,10,2277,360,42,171,196,5,199,0,0,0,0,28.3,0,34.7,0,8
Celorico de Basto ,2010,20181,0,0,15.7,65.4,18.9,121,48,0.2,0,200,0,-32,83,25,0,5,10574,77,16,18,3,4,2,4771,0,0,0,0,0,8.5,1219,3328,16,27,704,5,1,9,5580,410,35,1879,1437,11,302,19542.8,15543,-4000,75.7,27.8,1879.5,34.2,1,0
Celorico de Basto ,2019,19058,0,105.2,11.4,68,20.5,180,80,0.4,118,209,0,-91,50,21,0,5,11022,29,16,4,3,4,2,2316,0,0,0,0,0,0,0,0,0,0,0,4,1,8,5007,515,33,555,708,5,291,0,0,0,0,18.4,0,27.5,0,8
Chamusca ,2010,10215,0,0,11.3,61.7,26.9,238,106,1,0,150,0,-83,13,23,0,9,6203,12,10,8,1,1,1,1149,0,0,0,0,0,11.8,936,2485,12,32,834,3,3,14,4368,417,53,348,462,7,161,10003.7,11030.3,1027,75.1,42,4470.3,44.4,10,0
Chamusca ,2019,9225,0,12.4,10.5,59,30.5,291,78,0.8,60,142,0,-82,7,10,0,9,6251,1,9,5,1,1,1,975,0,0,0,28,0,0,0,0,0,0,0,2,2,11,3705,483,51,154,182,3,175,0,0,0,0,24.5,0,101.1,0,5
Chaves ,2010,41561,0,0,12.2,64.1,23.7,194,545,1.3,0,540,0,-286,157,115,1,12,28240,59,39,40,3,6,4,8742,2,737,2,0,1,7.6,3979,8828,5,13,817,18,3,46,11586,2873,40,1970,2417,9,504,28283,29110.7,828,66.6,30.8,3051.6,48.3,2,12
Chaves ,2019,39344,0,66.5,10.1,62.3,27.5,272,638,1.6,212,499,4.7,-287,126,75,1,12,28616,22,21,17,5,4,4,5270,1,246,3,103,1,0,0,0,0,0,0,12,3,39,10902,3186,40,1144,1491,6,472,0,0,0,0,26.4,0,47.9,0,37
Cinfães ,2010,20601,0,0,15,64.6,20.3,136,83,0.4,0,236,0,-72,80,36,0,8,11593,78,21,29,2,3,2,4137,0,0,1,0,0,11.3,1156,3233,12,16,711,4,2,10,6104,538,38,2364,1470,11,321,13287.8,15399.4,2112,91.5,27.5,1766.2,35.1,4,1
Cinfães ,2019,18357,0,76.7,12.1,64.7,23.2,191,79,0.4,139,279,0,-140,46,35,0,8,11786,8,11,11,2,3,2,2463,0,0,0,1,0,0,0,0,0,0,0,3,2,12,5683,603,39,850,831,7,264,0,0,0,0,23.5,0,20.9,0,12
Coimbra ,2010,143945,0,0,12.7,67.6,19.7,156,6344,4.4,0,1373,0,-187,637,398,12,49,79117,263,79,81,20,26,17,29466,18,34285,5,583,18,11.6,19340,44602,4,16,1061,110,8,285,37023,15363,42,5316,6066,6,1454,79947.8,77330.1,-2618,31.9,43.7,5611.1,67.8,13,22
Coimbra ,2019,133945,0,419.4,12.6,61.6,25.7,204,7684,5.7,1150,1532,1.7,-382,484,289,15,49,81231,73,80,69,19,22,17,23244,18,35541,9,1993,19,0,0,0,0,0,0,61,8,218,38287,16915,47,3164,3799,5,1307,0,0,0,0,27.4,0,85.5,0,69
Condeixa-a-Nova ,2010,17029,0,0,16.1,65.7,18.2,113,270,1.6,0,178,0,5,52,55,1,5,8482,36,10,9,1,2,1,1734,0,0,2,0,0,4.1,1688,3778,16,41,895,7,1,20,4493,965,38,474,532,5,217,11887.1,12087.8,201,54.3,28,3283.3,51.4,4,1
Condeixa-a-Nova ,2019,17665,0,127.4,14.1,66.3,19.6,139,309,1.7,121,178,0,-57,45,37,1,5,8677,17,8,6,1,2,1,1892,0,0,2,3,0,0,0,0,0,0,0,6,1,17,4358,1084,36,169,330,3,205,0,0,0,0,16,0,67.3,0,4
Constância ,2010,4039,0,0,15,64,21,140,51,1.3,0,28,0,3,16,10,1,2,2170,5,5,5,1,1,1,653,0,0,1,0,1,14.6,286,978,38,69,1098,4,1,6,962,243,35,125,167,6,112,6706.1,6263.6,-442,75.1,33.2,25848.3,48.3,8,1
Constância ,2019,4016,0,50,13.1,64.9,22,168,46,1.1,29,47,0,-18,13,3,1,3,2192,2,3,3,1,1,1,709,0,0,2,12,0,0,0,0,0,0,0,2,0,6,1082,311,40,92,131,5,126,0,0,0,0,18.7,0,84.2,0,3
Coruche ,2010,20085,0,0,12.1,59.1,28.8,238,343,1.7,0,291,0,-154,46,35,0,7,12553,26,14,15,2,4,2,2781,0,0,1,0,0,6.2,1958,4957,14,36,916,6,2,19,8324,751,52,886,1163,10,420,18600.9,18722.8,122,75.5,39.9,5945.6,24.3,9,2
Coruche ,2019,17550,0,15.7,10.5,57.8,31.8,304,298,1.7,117,291,8.5,-174,23,19,0,6,12730,14,11,10,2,4,2,2227,0,0,1,55,0,0,0,0,0,0,0,4,2,15,7986,923,57,551,583,6,361,0,0,0,0,30.3,0,32.1,0,10
Corvo ,2010,417,0,0,11.3,67.7,21,186,27,6.5,0,6,0,-3,1,0,0,0,190,0,1,1,1,1,0,59,0,0,0,0,0,10.4,83,87,9,60,0,2,0,2,80,46,34,30,13,5,40,1650.9,1732.2,81,97.7,19.2,2965.7,19.2,3,0
Corvo ,2019,465,0,27.1,14.2,67.2,18.6,131,10,2.2,1,9,0,-8,0,0,0,1,193,2,1,1,1,1,1,49,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,42,0,0,0,0,32,0,0,0,0,23.7,0,96.9,0,1
Covilhã ,2010,52081,0,0,12.4,64.8,22.7,183,676,1.3,0,604,0,-208,163,115,1,21,35189,88,46,27,7,10,6,10152,1,5960,1,0,4,11.4,4713,12575,11,16,842,30,2,78,19252,2399,48,2059,3581,11,353,29585.9,29256,-330,61.4,24.9,4250.4,7.4,0,9
Covilhã ,2019,46957,0,84.5,10.9,61.2,27.9,257,1635,3.5,259,670,0,-411,87,82,1,22,35652,16,38,29,6,9,5,6420,1,7432,3,70,4,0,0,0,0,0,0,18,1,72,18417,2793,51,1402,1488,5,364,0,0,0,0,29.1,0,52.9,0,34
Crato ,2010,3766,0,0,10.2,57.6,32.2,318,95,2.5,0,79,0,-54,16,6,0,5,3255,5,3,2,1,1,1,456,0,0,0,0,0,18.1,382,650,10,21,744,2,2,5,1853,273,63,206,178,8,116,6967.8,7369.2,401,81.3,18.9,3258.8,209.5,2,1
Crato ,2019,3157,0,7.9,9.4,56.4,34.1,362,74,2.3,18,87,0,-69,4,5,0,5,3271,2,2,1,1,1,1,361,0,0,1,4,0,0,0,0,0,0,0,1,2,5,1603,287,67,118,99,6,122,0,0,0,0,30.7,0,207.8,0,7
Cuba ,2010,4895,0,0,14.2,61.7,24.1,170,158,3.2,0,83,0,-46,16,7,0,3,3009,17,5,4,1,2,1,816,0,0,0,0,1,7.6,447,732,10,20,820,2,1,6,1743,242,47,356,218,7,127,5929.4,5808.8,-121,79.5,27.2,3260.3,99.9,2,0
Cuba ,2019,4597,0,26.7,13.5,64.2,22.3,166,163,3.5,34,81,29.4,-47,6,3,0,3,3068,7,4,3,1,2,1,624,0,0,0,13,0,0,0,0,0,0,0,1,1,6,1501,265,44,224,162,5,147,0,0,0,0,20,0,187.9,0,3
Elvas ,2010,23122,0,0,15,63.1,22,147,803,3.5,0,274,0,-37,73,67,1,10,13348,39,20,14,4,4,2,4443,1,299,2,157,0,20.8,2445,5306,4,16,808,14,4,26,6741,2013,45,2951,1451,10,247,17644.2,20101.3,2457,60,40.9,3586.9,99.9,4,10
Elvas ,2019,20617,0,32.7,12.6,64.2,23.2,184,557,2.7,151,340,0,-189,72,39,1,11,13488,18,18,12,4,5,1,3779,1,393,4,63,1,0,0,0,0,0,0,6,3,23,6182,2028,46,1503,1067,8,350,0,0,0,0,41.7,0,86.2,0,23
Entroncamento ,2010,20147,0,0,16.6,66.5,16.9,102,503,2.5,0,162,0,35,91,76,1,4,10701,28,9,7,2,3,3,3977,0,0,0,0,0,10.4,1870,6156,35,43,1074,11,1,26,4487,1395,35,519,722,5,299,14722.4,14622.8,-100,44.5,25.3,4259.7,52.4,5,1
Entroncamento ,2019,21386,0,1557.6,14.3,66.5,19.2,134,584,2.7,187,187,0,0,30,59,1,4,10938,11,7,5,1,3,2,3323,0,0,1,61,0,0,0,0,0,0,0,7,1,22,4790,1876,36,475,432,3,313,0,0,0,0,25.7,0,85.3,0,2
